"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"58",0,1,"C/CY",5,0.987370758430518,0.980628987423605,0.993299337385263,"Control","Male"
"59",0,1,"C/CY",6,0.986513280927815,0.980011087087742,0.992652503412739,"Control","Male"
"60",0,1,"C/CY",7,0.984989547375601,0.978821801007288,0.991243268456881,"Control","Male"
"61",0,1,"C/CY",8,0.98281631593647,0.976452806399775,0.989449712740891,"Control","Male"
"62",0,1,"C/CY",9,0.980092141361203,0.972946296095205,0.987560653909308,"Control","Male"
"63",0,1,"C/CY",10,0.977634193971292,0.969766485553128,0.985809814646936,"Control","Male"
"64",0,1,"C/CY",11,0.974828416446742,0.966060445452017,0.984323206389674,"Control","Male"
"65",0,1,"C/CY",12,0.971718447232488,0.962211226569442,0.982768764382663,"Control","Male"
"66",0,0,"C/CY",0,1,NA,NA,"Control","Female"
"67",0,0,"C/CY",1,0.994602435988915,0.991104540160972,0.997177983084681,"Control","Female"
"68",0,0,"C/CY",2,0.992562707504391,0.987850880609483,0.996138667926688,"Control","Female"
"69",0,0,"C/CY",3,0.99105364469499,0.985752105154418,0.995418825751438,"Control","Female"
"70",0,0,"C/CY",4,0.988742961662494,0.981927413313599,0.994276621767042,"Control","Female"
"71",0,0,"C/CY",5,0.988116321159084,0.981193374080778,0.993713495583255,"Control","Female"
"72",0,0,"C/CY",6,0.986954241292333,0.979762090218155,0.99292709470424,"Control","Female"
"73",0,0,"C/CY",7,0.984890114027999,0.977046451157391,0.991282048718283,"Control","Female"
"74",0,0,"C/CY",8,0.981948101591526,0.972851371244199,0.989417773161133,"Control","Female"
"75",0,0,"C/CY",9,0.978263505410751,0.96829028193492,0.986938023385471,"Control","Female"
"76",0,0,"C/CY",10,0.976525365870293,0.965504043715377,0.985938490436719,"Control","Female"
"77",0,0,"C/CY",11,0.974539698609191,0.961723821186354,0.98471264294288,"Control","Female"
"78",0,0,"C/CY",12,0.972336803182917,0.95748277060609,0.983513393130623,"Control","Female"
"79",0,1,"C/C",0,1,NA,NA,"Control","Male"
"80",0,1,"C/C",1,0.995923815266189,0.992852218330438,0.998008857358136,"Control","Male"
"81",0,1,"C/C",2,0.994382021562826,0.990505190179352,0.997202106223784,"Control","Male"
"82",0,1,"C/C",3,0.993240848155413,0.988187554695257,0.996623973143908,"Control","Male"
"83",0,1,"C/C",4,0.991492652364519,0.984919113368701,0.995736417046512,"Control","Male"
"84",0,1,"C/C",5,0.990858732419256,0.983911683232022,0.995168343399127,"Control","Male"
"85",0,1,"C/C",6,0.989683162497386,0.981902889612327,0.994151634590277,"Control","Male"
"86",0,1,"C/C",7,0.987595103810508,0.97866330855345,0.99265692932669,"Control","Male"
"87",0,1,"C/C",8,0.98461904846543,0.974431981809432,0.990692039954912,"Control","Male"
"88",0,1,"C/C",9,0.980891927591476,0.968721733466057,0.987916443448124,"Control","Male"
"89",0,1,"C/C",10,0.978034124268362,0.964740052588112,0.985808579828054,"Control","Male"
"90",0,1,"C/C",11,0.974773328489407,0.960325034346853,0.983437200862548,"Control","Male"
"91",0,1,"C/C",12,0.971160785672371,0.956458237867937,0.981327492736334,"Control","Male"
"92",0,0,"C/C",0,1,NA,NA,"Control","Female"
"93",0,0,"C/C",1,0.996229813018256,0.992853234251951,0.998312090366254,"Control","Female"
"94",0,0,"C/C",2,0.994803458940729,0.990677837836979,0.997702118692292,"Control","Female"
"95",0,0,"C/C",3,0.993747622169742,0.988392100863248,0.997282677745583,"Control","Female"
"96",0,0,"C/C",4,0.99212997899209,0.984795343610138,0.996439856798021,"Control","Female"
"97",0,0,"C/C",5,0.991270932717671,0.983810779441002,0.995759938248156,"Control","Female"
"98",0,0,"C/C",6,0.989678393850335,0.982033567688737,0.9944084570618,"Control","Female"
"99",0,0,"C/C",7,0.986851363862931,0.978380307142925,0.991900298981259,"Control","Female"
"100",0,0,"C/C",8,0.982825732739544,0.972900679261653,0.989394468039864,"Control","Female"
"101",0,0,"C/C",9,0.977790235180147,0.965492110815951,0.985952889616587,"Control","Female"
"102",0,0,"C/C",10,0.975771842175529,0.963060644693886,0.984718419134803,"Control","Female"
"103",0,0,"C/C",11,0.973466722698551,0.960482634419807,0.983233581984504,"Control","Female"
"104",0,0,"C/C",12,0.970910317617905,0.956242503135546,0.981803064611247,"Control","Female"
"105",0,1,"G/G",0,1,NA,NA,"Control","Male"
"106",0,1,"G/G",1,0.992095530472726,0.987881796979184,0.996081036996554,"Control","Male"
"107",0,1,"G/G",2,0.989113645497632,0.983628942097906,0.994640468830439,"Control","Male"
"108",0,1,"G/G",3,0.98690938015606,0.98073442123159,0.993421983981752,"Control","Male"
"109",0,1,"G/G",4,0.983537232545914,0.976213567275277,0.99172632584431,"Control","Male"
"110",0,1,"G/G",5,0.983096392271489,0.975754994166817,0.991434480562192,"Control","Male"
"111",0,1,"G/G",6,0.982278654771346,0.974933267760579,0.990849474527238,"Control","Male"
"112",0,1,"G/G",7,0.980825464964269,0.97224602446796,0.989895994734423,"Control","Male"
"113",0,1,"G/G",8,0.978752682593278,0.967790007066623,0.987355759715953,"Control","Male"
"114",0,1,"G/G",9,0.976154148904751,0.964758399317346,0.985265765520491,"Control","Male"
"115",0,1,"G/G",10,0.974982638992959,0.963438551827618,0.984789131910067,"Control","Male"
"116",0,1,"G/G",11,0.973643465862474,0.961927588634463,0.983484752619252,"Control","Male"
"117",0,1,"G/G",12,0.972156752541385,0.960063793669383,0.982877013643753,"Control","Male"
"118",0,0,"G/G",0,1,NA,NA,"Control","Female"
"119",0,0,"G/G",1,0.99268785929089,0.987943198769275,0.995977057386656,"Control","Female"
"120",0,0,"G/G",2,0.98992828805677,0.984004805971096,0.994502414603632,"Control","Female"
"121",0,0,"G/G",3,0.987887959048045,0.981538188891304,0.99305214180463,"Control","Female"
"122",0,0,"G/G",4,0.984765942302076,0.976507477125213,0.990969957826061,"Control","Female"
"123",0,0,"G/G",5,0.984168162462692,0.975757800641111,0.990571547122885,"Control","Female"
"124",0,0,"G/G",6,0.983059561180958,0.973868670599776,0.989774342216342,"Control","Female"
"125",0,0,"G/G",7,0.981090288550019,0.971238466828505,0.988517500577265,"Control","Female"
"126",0,0,"G/G",8,0.978283171711443,0.967761131123024,0.986502461466803,"Control","Female"
"127",0,0,"G/G",9,0.974767018725885,0.961442328382349,0.984206167597833,"Control","Female"
"128",0,0,"G/G",10,0.973938373694618,0.960587201716969,0.983676794643641,"Control","Female"
"129",0,0,"G/G",11,0.972990779348848,0.959460230263573,0.983017033648604,"Control","Female"
"130",0,0,"G/G",12,0.971938340493698,0.958304992267776,0.98233509582497,"Control","Female"
"131",1,1,"CY/CY",0,1,NA,NA,"Fungal","Male"
"132",1,1,"CY/CY",1,0.993030214423963,0.987869182064091,0.997905774224452,"Fungal","Male"
"133",1,1,"CY/CY",2,0.990399220527336,0.983819026238674,0.997112656261198,"Fungal","Male"
"134",1,1,"CY/CY",3,0.988453735499855,0.980942985115778,0.996399731808067,"Fungal","Male"
"135",1,1,"CY/CY",4,0.985476479006894,0.975753906088765,0.99516963729219,"Fungal","Male"
"136",1,1,"CY/CY",5,0.980271967207405,0.969978803160727,0.991023789677582,"Fungal","Male"
