"","Treatment","Diet","Sex","day","est","lower","upper"
"144","Fungal","C","F",0,1,1,1
"145","Fungal","C","F",1,0.990864314703569,0.986696361956774,0.994557123235987
"146","Fungal","C","F",2,0.986653048369932,0.981515001740744,0.991907112964392
"147","Fungal","C","F",3,0.981656888605085,0.974600555296289,0.988915026574215
"148","Fungal","C","F",4,0.977238648339521,0.968201307888212,0.986327179182019
"149","Fungal","C","F",5,0.953825024155096,0.944194917476899,0.964546666570219
"150","Fungal","C","F",6,0.918252697239416,0.906764920758284,0.930759878390063
"151","Fungal","C","F",7,0.849057952892339,0.832400519701252,0.867497246701448
"152","Fungal","C","F",8,0.783130571613055,0.764325627713303,0.805046631428184
"153","Fungal","C","F",9,0.706075392868013,0.68202027174103,0.732503650052896
"154","Fungal","C","F",10,0.669351688717677,0.645818127433281,0.694870114636798
"155","Fungal","C","F",11,0.624259707911483,0.601127526908224,0.653511619017199
"156","Fungal","C","F",12,0.581074678753684,0.556164830553454,0.611353229482039
"157","Fungal","CY0.5","M",0,1,1,1
"158","Fungal","CY0.5","M",1,0.994875908163892,0.992847143003576,0.99646063115255
"159","Fungal","CY0.5","M",2,0.992506860321233,0.989867527417176,0.994627915956328
"160","Fungal","CY0.5","M",3,0.989690489593716,0.986556518489205,0.992548334034865
"161","Fungal","CY0.5","M",4,0.987194634029435,0.983695182958706,0.99070809408014
"162","Fungal","CY0.5","M",5,0.982293296870571,0.977857166887367,0.986248959648652
"163","Fungal","CY0.5","M",6,0.974660427163766,0.969579567683921,0.978992269309166
"164","Fungal","CY0.5","M",7,0.959113397966673,0.952758109061739,0.965358306309153
"165","Fungal","CY0.5","M",8,0.943333533521374,0.93603222302874,0.950774423108298
"166","Fungal","CY0.5","M",9,0.923491274308088,0.914021147236324,0.933142936533126
"167","Fungal","CY0.5","M",10,0.890876302593546,0.878192546640041,0.901882270691044
"168","Fungal","CY0.5","M",11,0.85001706582799,0.833859407165784,0.865246910996989
"169","Fungal","CY0.5","M",12,0.809971106713025,0.791373087804097,0.828497041059546
